=== MASTER ACCOUNT (Linear) ===
Count: 13
[TX] 1769969739834 | BTCUSDT | PnL: 126.581 | ID: c4e6ae85-3404-4b32-9f10-d9b568813356 | Type: TRADE
[TX] 1769969739834 | BTCUSDT | PnL: 98.761 | ID: c4e6ae85-3404-4b32-9f10-d9b568813356 | Type: TRADE
[TX] 1769969739834 | BTCUSDT | PnL: 122.408 | ID: c4e6ae85-3404-4b32-9f10-d9b568813356 | Type: TRADE
[TX] 1769967081226 | BTCUSDT | PnL: 0.0 | ID: 7465bc75-08e3-471f-aa9b-83508a55a1e6 | Type: TRADE
[TX] 1769967081220 | BTCUSDT | PnL: 0.0 | ID: 7465bc75-08e3-471f-aa9b-83508a55a1e6 | Type: TRADE
[TX] 1769967081219 | BTCUSDT | PnL: 0.0 | ID: 7465bc75-08e3-471f-aa9b-83508a55a1e6 | Type: TRADE
[TX] 1769967081217 | BTCUSDT | PnL: 0.0 | ID: 7465bc75-08e3-471f-aa9b-83508a55a1e6 | Type: TRADE
[TX] 1769967081216 | BTCUSDT | PnL: 0.0 | ID: 7465bc75-08e3-471f-aa9b-83508a55a1e6 | Type: TRADE
[TX] 1769967081216 | BTCUSDT | PnL: 0.0 | ID: 7465bc75-08e3-471f-aa9b-83508a55a1e6 | Type: TRADE
[TX] 1769967081216 | BTCUSDT | PnL: 0.0 | ID: 7465bc75-08e3-471f-aa9b-83508a55a1e6 | Type: TRADE
[TX] 1769967081215 | BTCUSDT | PnL: 0.0 | ID: 7465bc75-08e3-471f-aa9b-83508a55a1e6 | Type: TRADE
[TX] 1769967081215 | BTCUSDT | PnL: 0.0 | ID: 7465bc75-08e3-471f-aa9b-83508a55a1e6 | Type: TRADE
[TX] 1769967081215 | BTCUSDT | PnL: 0.0 | ID: 7465bc75-08e3-471f-aa9b-83508a55a1e6 | Type: TRADE

=== SUBACCOUNT 463099713 (Linear) ===
Count: 13
[TX] 1769969739834 | BTCUSDT | PnL: 126.581 | ID: c4e6ae85-3404-4b32-9f10-d9b568813356 | Type: TRADE
[TX] 1769969739834 | BTCUSDT | PnL: 98.761 | ID: c4e6ae85-3404-4b32-9f10-d9b568813356 | Type: TRADE
[TX] 1769969739834 | BTCUSDT | PnL: 122.408 | ID: c4e6ae85-3404-4b32-9f10-d9b568813356 | Type: TRADE
[TX] 1769967081226 | BTCUSDT | PnL: 0.0 | ID: 7465bc75-08e3-471f-aa9b-83508a55a1e6 | Type: TRADE
[TX] 1769967081220 | BTCUSDT | PnL: 0.0 | ID: 7465bc75-08e3-471f-aa9b-83508a55a1e6 | Type: TRADE
[TX] 1769967081219 | BTCUSDT | PnL: 0.0 | ID: 7465bc75-08e3-471f-aa9b-83508a55a1e6 | Type: TRADE
[TX] 1769967081217 | BTCUSDT | PnL: 0.0 | ID: 7465bc75-08e3-471f-aa9b-83508a55a1e6 | Type: TRADE
[TX] 1769967081216 | BTCUSDT | PnL: 0.0 | ID: 7465bc75-08e3-471f-aa9b-83508a55a1e6 | Type: TRADE
[TX] 1769967081216 | BTCUSDT | PnL: 0.0 | ID: 7465bc75-08e3-471f-aa9b-83508a55a1e6 | Type: TRADE
[TX] 1769967081216 | BTCUSDT | PnL: 0.0 | ID: 7465bc75-08e3-471f-aa9b-83508a55a1e6 | Type: TRADE
[TX] 1769967081215 | BTCUSDT | PnL: 0.0 | ID: 7465bc75-08e3-471f-aa9b-83508a55a1e6 | Type: TRADE
[TX] 1769967081215 | BTCUSDT | PnL: 0.0 | ID: 7465bc75-08e3-471f-aa9b-83508a55a1e6 | Type: TRADE
[TX] 1769967081215 | BTCUSDT | PnL: 0.0 | ID: 7465bc75-08e3-471f-aa9b-83508a55a1e6 | Type: TRADE
